,timestamp,open,high,low,close
0,2018-09-07,1.6141,1.629,1.6134,1.6202
1,2018-09-06,1.6171,1.6222,1.612,1.6145
2,2018-09-05,1.6128,1.6202,1.6063,1.6172
3,2018-09-04,1.6108,1.6151,1.6036,1.6132
4,2018-09-03,1.6136,1.6173,1.6069,1.6108
5,2018-09-02,1.6131,1.6145,1.6108,1.6136
6,2018-08-31,1.6059,1.6161,1.6045,1.6125
7,2018-08-30,1.6019,1.6084,1.598,1.6059
8,2018-08-29,1.5935,1.6057,1.5906,1.6019
9,2018-08-28,1.5893,1.5955,1.5886,1.5936
10,2018-08-27,1.5852,1.5903,1.5845,1.5893
11,2018-08-26,1.5884,1.5884,1.5833,1.5855
12,2018-08-24,1.5925,1.5947,1.5827,1.5854
13,2018-08-23,1.5776,1.5934,1.5767,1.5925
14,2018-08-22,1.5727,1.5798,1.5715,1.5776
15,2018-08-21,1.5645,1.5741,1.5636,1.5727
16,2018-08-20,1.5637,1.5663,1.5596,1.5645
17,2018-08-19,1.563,1.5673,1.5619,1.5642
18,2018-08-17,1.5664,1.5683,1.5625,1.5625
19,2018-08-16,1.5672,1.5722,1.5623,1.5664
20,2018-08-15,1.567,1.5717,1.5644,1.5673
21,2018-08-14,1.5681,1.5727,1.5652,1.5675
22,2018-08-13,1.5631,1.5697,1.5617,1.5682
23,2018-08-12,1.5621,1.5688,1.5607,1.5631
24,2018-08-10,1.5634,1.5703,1.5604,1.5624
25,2018-08-09,1.5627,1.5649,1.5581,1.5633
26,2018-08-08,1.5636,1.5676,1.56,1.5627
27,2018-08-07,1.5642,1.5651,1.5574,1.5636
28,2018-08-06,1.5635,1.5658,1.5608,1.5646
29,2018-08-05,1.5618,1.5645,1.5615,1.5634
30,2018-08-03,1.5729,1.5751,1.5616,1.5627
31,2018-08-02,1.575,1.5794,1.572,1.5733
32,2018-08-01,1.5761,1.579,1.5726,1.5749
33,2018-07-31,1.5796,1.582,1.5717,1.5765
34,2018-07-30,1.575,1.582,1.5738,1.58
35,2018-07-29,1.5769,1.5769,1.5729,1.5753
36,2018-07-27,1.5774,1.5789,1.5714,1.5755
37,2018-07-26,1.5743,1.5808,1.5723,1.5778
38,2018-07-25,1.5732,1.5808,1.5699,1.5748
39,2018-07-24,1.5837,1.587,1.5725,1.5736
40,2018-07-23,1.5788,1.5864,1.5783,1.5837
41,2018-07-22,1.5813,1.5823,1.5781,1.5789
42,2018-07-20,1.5831,1.5891,1.5777,1.5781
43,2018-07-19,1.5739,1.5847,1.5652,1.5831
44,2018-07-18,1.5792,1.5831,1.5721,1.5739
45,2018-07-17,1.5784,1.5829,1.5749,1.5792
46,2018-07-16,1.5741,1.5796,1.5711,1.5784
47,2018-07-15,1.5736,1.5769,1.5731,1.5741
48,2018-07-13,1.5755,1.5773,1.5707,1.5734
49,2018-07-12,1.5849,1.5859,1.5741,1.5755
50,2018-07-11,1.5798,1.5882,1.5785,1.5853
51,2018-07-10,1.5739,1.5826,1.5694,1.5802
52,2018-07-09,1.5806,1.5815,1.5716,1.5739
53,2018-07-08,1.5801,1.5815,1.5782,1.581
54,2018-07-06,1.5822,1.5851,1.5775,1.5803
55,2018-07-05,1.5784,1.5871,1.5781,1.5826
56,2018-07-04,1.5782,1.581,1.5724,1.5788
57,2018-07-03,1.5857,1.5888,1.5741,1.5787
58,2018-07-02,1.577,1.5871,1.5757,1.5861
59,2018-07-01,1.575,1.579,1.5716,1.5774
60,2018-06-29,1.5733,1.5809,1.5718,1.5777
61,2018-06-28,1.5744,1.5786,1.5707,1.5733
62,2018-06-27,1.5761,1.5827,1.5691,1.5744
63,2018-06-26,1.5781,1.5823,1.5737,1.5761
64,2018-06-25,1.5686,1.5818,1.5652,1.5781
65,2018-06-24,1.569,1.569,1.5656,1.5686
66,2018-06-22,1.5727,1.5756,1.5647,1.5655
67,2018-06-21,1.5702,1.5744,1.5626,1.5731
68,2018-06-20,1.5697,1.5723,1.5613,1.5702
69,2018-06-19,1.5653,1.5752,1.5633,1.5701
70,2018-06-18,1.5588,1.5666,1.5538,1.5657
71,2018-06-17,1.5583,1.5593,1.5548,1.5589
72,2018-06-15,1.5489,1.5603,1.5477,1.5599
73,2018-06-14,1.5568,1.5693,1.5424,1.5493
74,2018-06-13,1.5509,1.5594,1.5483,1.5572
75,2018-06-12,1.547,1.552,1.5437,1.5509
