,timestamp,open,high,low,close
0,2018-09-07,1.2931,1.3028,1.2913,1.2994
1,2018-09-06,1.291,1.2962,1.2894,1.2928
2,2018-09-05,1.2857,1.2983,1.2784,1.291
3,2018-09-04,1.2874,1.2874,1.2809,1.2857
4,2018-09-03,1.2925,1.2934,1.2853,1.2873
5,2018-09-02,1.2969,1.2969,1.2893,1.2925
6,2018-08-31,1.3009,1.3029,1.2943,1.2956
7,2018-08-30,1.3024,1.3043,1.2984,1.3008
8,2018-08-29,1.287,1.3033,1.2844,1.3024
9,2018-08-28,1.2895,1.2932,1.2859,1.287
10,2018-08-27,1.2851,1.2901,1.2827,1.2895
11,2018-08-26,1.2848,1.2852,1.2831,1.2851
12,2018-08-24,1.281,1.2881,1.2797,1.2839
13,2018-08-23,1.2915,1.2917,1.2801,1.2809
14,2018-08-22,1.2907,1.2936,1.2867,1.2915
15,2018-08-21,1.2801,1.2925,1.2793,1.2907
16,2018-08-20,1.2746,1.2801,1.2727,1.2801
17,2018-08-19,1.2739,1.2751,1.2738,1.2746
18,2018-08-17,1.2714,1.2754,1.2696,1.2754
19,2018-08-16,1.2696,1.2754,1.2684,1.2714
20,2018-08-15,1.2723,1.2735,1.2661,1.2696
21,2018-08-14,1.2761,1.2827,1.2703,1.2723
22,2018-08-13,1.2767,1.2791,1.2729,1.2763
23,2018-08-12,1.2762,1.278,1.2742,1.2767
24,2018-08-10,1.282,1.2837,1.2722,1.2765
25,2018-08-09,1.2883,1.2912,1.2817,1.282
26,2018-08-08,1.2942,1.296,1.2852,1.2883
27,2018-08-07,1.2943,1.2974,1.2922,1.2942
28,2018-08-06,1.3,1.3006,1.2918,1.2943
29,2018-08-05,1.301,1.3012,1.2995,1.3001
30,2018-08-03,1.3017,1.3043,1.2974,1.2997
31,2018-08-02,1.3126,1.3129,1.3011,1.3018
32,2018-08-01,1.3116,1.3144,1.3094,1.3126
33,2018-07-31,1.3136,1.3173,1.3089,1.3116
34,2018-07-30,1.311,1.3152,1.3095,1.3135
35,2018-07-29,1.3094,1.312,1.3093,1.3109
36,2018-07-27,1.3107,1.3131,1.3081,1.3098
37,2018-07-26,1.3193,1.3213,1.3101,1.3107
38,2018-07-25,1.3143,1.3201,1.3131,1.3192
39,2018-07-24,1.3101,1.3159,1.307,1.3143
40,2018-07-23,1.3139,1.3158,1.3081,1.3102
41,2018-07-22,1.3123,1.3141,1.3115,1.314
42,2018-07-20,1.3014,1.314,1.2993,1.3132
43,2018-07-19,1.3074,1.3083,1.2956,1.3014
44,2018-07-18,1.3112,1.3117,1.3009,1.3074
45,2018-07-17,1.3237,1.3269,1.3068,1.3111
