,timestamp,open,high,low,close
0,2018-09-07,1.3212,1.3218,1.3109,1.3129
1,2018-09-06,1.3174,1.3226,1.3124,1.315
2,2018-09-05,1.3179,1.3206,1.3155,1.3174
3,2018-09-04,1.3091,1.3208,1.3087,1.3179
4,2018-09-03,1.3062,1.3103,1.3041,1.3091
5,2018-09-02,1.3034,1.3077,1.3033,1.3061
6,2018-08-31,1.2983,1.3089,1.2977,1.3034
7,2018-08-30,1.2912,1.3,1.2898,1.2979
8,2018-08-29,1.2928,1.2963,1.2897,1.2912
9,2018-08-28,1.2964,1.2983,1.2883,1.2928
10,2018-08-27,1.3018,1.3068,1.2949,1.2963
11,2018-08-26,1.302,1.3029,1.3009,1.3018
12,2018-08-25,1.302,1.302,1.302,1.302
13,2018-08-24,1.3093,1.3103,1.3006,1.302
14,2018-08-23,1.2994,1.3099,1.2987,1.3093
15,2018-08-22,1.304,1.3042,1.2982,1.2994
16,2018-08-21,1.3041,1.3057,1.3009,1.3039
17,2018-08-20,1.3058,1.3093,1.3033,1.3041
18,2018-08-19,1.3053,1.3072,1.3052,1.3058
19,2018-08-17,1.3158,1.3169,1.3047,1.306
20,2018-08-16,1.3141,1.3175,1.3109,1.3158
21,2018-08-15,1.3052,1.3175,1.3046,1.3137
22,2018-08-14,1.3126,1.3137,1.3046,1.3052
23,2018-08-13,1.3144,1.3171,1.31,1.3126
24,2018-08-12,1.314,1.3176,1.3135,1.3144
25,2018-08-11,1.314,1.314,1.314,1.314
26,2018-08-10,1.3053,1.3154,1.3038,1.314
27,2018-08-09,1.3018,1.3064,1.2995,1.3052
28,2018-08-08,1.3058,1.312,1.3002,1.3018
29,2018-08-07,1.3004,1.3075,1.2957,1.3059
30,2018-08-06,1.3014,1.304,1.2985,1.3004
31,2018-08-05,1.2988,1.3022,1.2986,1.3014
32,2018-08-04,1.2988,1.2988,1.2988,1.2988
33,2018-08-03,1.302,1.3039,1.2964,1.2988
34,2018-08-02,1.2999,1.304,1.2988,1.3021
35,2018-08-01,1.3021,1.3033,1.2971,1.2999
36,2018-07-31,1.303,1.3096,1.298,1.3021
37,2018-07-30,1.3061,1.3079,1.2989,1.3028
38,2018-07-29,1.305,1.3063,1.3049,1.3061
39,2018-07-27,1.3073,1.3078,1.3039,1.305
40,2018-07-26,1.3045,1.3093,1.3021,1.3073
41,2018-07-25,1.3158,1.3166,1.302,1.3045
42,2018-07-24,1.3171,1.3191,1.3132,1.3158
43,2018-07-23,1.3122,1.318,1.3112,1.317
44,2018-07-22,1.3142,1.3142,1.3119,1.3122
45,2018-07-20,1.3266,1.329,1.311,1.3145
46,2018-07-19,1.317,1.329,1.3155,1.3265
47,2018-07-18,1.3198,1.326,1.3157,1.317
48,2018-07-17,1.3137,1.3219,1.3106,1.3198
49,2018-07-16,1.3157,1.3161,1.3105,1.3137
50,2018-07-15,1.3156,1.3163,1.315,1.3158
51,2018-07-13,1.3168,1.3209,1.3145,1.3156
52,2018-07-12,1.3209,1.3216,1.3146,1.3168
53,2018-07-11,1.314,1.3219,1.3061,1.3209
54,2018-07-10,1.3115,1.3146,1.3096,1.314
55,2018-07-09,1.3095,1.3123,1.3063,1.3115
56,2018-07-08,1.3079,1.3102,1.3079,1.3095
57,2018-07-07,1.3079,1.3079,1.3079,1.3079
58,2018-07-06,1.3134,1.3151,1.3072,1.3079
59,2018-07-05,1.3141,1.316,1.311,1.3134
60,2018-07-04,1.3143,1.3162,1.3107,1.3141
61,2018-07-03,1.3186,1.3208,1.3129,1.3139
62,2018-07-02,1.3144,1.3225,1.3137,1.3186
