timestamp,open,high,low,close
2018-09-29,187.8,187.8,185.74,186.23
2018-09-28,196,196.54,185.21,187.8
2018-09-27,184.52,197.77,183.15,196
2018-09-26,190.98,193.52,183.15,184.52
2018-09-25,198.01,198.01,179.58,190.98
2018-09-24,205.38,206.28,192.1,198.01
2018-09-23,205.02,212.5,202.31,205.38
2018-09-22,210,213.67,200,205.02
2018-09-21,199.41,212.02,199.41,210
2018-09-20,190.52,201.81,187.4,199.41
2018-09-19,191.15,196.59,184.57,190.52
2018-09-18,183.51,192,177.13,191.15
2018-09-17,191.32,199.8,178.56,183.51
2018-09-16,191,193.5,184.71,191.32
2018-09-15,191.08,195,187.09,191
2018-09-14,194,200,185.54,191.08
2018-09-13,186.48,202.38,181.52,194
2018-09-12,187.36,188.17,171.05,186.48
2018-09-11,201.05,206.2,180.31,187.36
2018-09-10,193.52,207.13,191.76,201.05
2018-09-09,186.66,198.73,176,193.52
2018-09-08,186.96,201.95,182.9,186.66
2018-09-07,181.46,194,170.55,186.96
2018-09-06,173.31,181.63,160,181.46
2018-09-05,216.09,221.51,171.84,173.31
2018-09-04,216.71,221.76,212.93,216.09
2018-09-03,212.51,223.37,204.4,216.71
2018-09-02,221.89,222.84,205.59,212.51
2018-09-01,194.03,224.44,194.03,221.89
2018-08-31,185.51,196.51,182.51,194.03
2018-08-30,186.75,187.63,174,185.51
2018-08-29,193.64,202,185.72,186.75
2018-08-28,183.4,202.32,170.75,193.64
2018-08-27,141.5,192.62,140.61,183.4
2018-08-26,145,145,137.72,141.5
2018-08-25,145.9,146.18,141.44,145
2018-08-24,140.83,145.9,137.15,145.9
2018-08-23,136.54,141.49,135.64,140.83
2018-08-22,141.5,153.76,134.53,136.54
2018-08-21,141.12,146,138.3,141.5
2018-08-20,154.31,157.61,141.11,141.12
2018-08-19,152.2,161.14,148.66,154.31
2018-08-18,167.78,170,146.2,152.2
2018-08-17,150.8,167.78,150.8,167.78
2018-08-16,153.45,159.11,147.64,150.8
2018-08-15,138.44,162.48,138.44,153.45
2018-08-14,143.5,144.15,131.7,138.44
2018-08-13,167.97,170.24,143.5,143.5
2018-08-12,165.03,165.03,165.03,165.03
2018-08-11,168.18,168.18,163.5,165.03
2018-08-10,183.25,189.41,166.45,168.18
2018-08-09,173.79,193,172,183.25
2018-08-08,186.73,191,170.5,173.79
2018-08-07,199.77,206.44,186.73,186.73
2018-08-06,205.83,211.99,198.5,199.77
2018-08-05,201.64,208.19,200.7,205.83
2018-08-04,209.84,214.11,200.98,201.64
2018-08-03,210.7,213.86,202.79,209.84
2018-08-02,218.95,222,206,210.7
2018-08-01,219.3,224.63,212.52,218.95
2018-07-31,235.4,235.4,213.07,219.3
2018-07-30,241.2,241.2,230,235.4
2018-07-29,239.02,243.1,236.5,241.2
2018-07-28,244.69,246.1,238.47,239.02
2018-07-27,241.56,255,234.01,244.69
2018-07-26,245,251.17,241.56,241.56
2018-07-25,251.91,256.66,238,245
2018-07-24,242.02,254.65,237.51,251.91
2018-07-23,251.73,258.67,239.51,242.02
2018-07-22,253.74,262,247,251.73
2018-07-21,243.57,256.95,237.55,253.74
2018-07-20,261,284.33,240,243.57
2018-07-19,266.3,271.67,255.32,261
2018-07-18,260.75,272.5,258.65,266.3
2018-07-17,247.23,264.75,239.75,260.75
2018-07-16,230.8,251.21,227.5,247.23
2018-07-15,224.08,233.68,220.05,230.8
2018-07-14,218.25,225.49,215.25,224.08
2018-07-13,212.11,242.11,211,218.25
2018-07-12,218.2,218.2,206.6,212.11
2018-07-11,221.11,225,212.31,218.2
2018-07-10,230.99,231.48,220,221.11
2018-07-09,243.88,245.39,229.44,230.99
2018-07-08,246.13,249.23,240.56,243.88
2018-07-07,241.88,246.38,235.3,246.13
2018-07-06,241.52,242.63,235.32,241.88
2018-07-05,243.99,251.15,238.77,241.52
2018-07-04,241.7,253.36,230.5,243.99
2018-07-03,250.48,261.62,240,241.7
2018-07-02,235.87,254.22,235.53,250.48
2018-07-01,240.87,241.44,230.84,235.87
2018-06-30,233.46,246.74,230.22,240.87
2018-06-29,219.95,238.47,216.57,233.46
2018-06-28,227.29,230.8,217.08,219.95
2018-06-27,230.23,231.11,224,227.29
2018-06-26,240,241.38,227.25,230.23
2018-06-25,237.06,246.15,235.81,240
2018-06-24,241.73,243.84,225,237.06
2018-06-23,235.7,247.24,235.7,241.73
2018-06-22,261.39,261.93,231.7,235.7
2018-06-21,264.99,269.5,259.46,261.39
2018-06-20,260.96,266.69,252.67,264.99
2018-06-19,262.95,270.81,257.8,260.96
2018-06-18,263.57,267.83,250.17,262.95
2018-06-17,266.35,271.9,262.85,263.57
2018-06-16,255.25,267.97,254.58,266.35
2018-06-15,267.62,269.66,253.57,255.25
2018-06-14,245.67,271.27,244.71,267.62
2018-06-13,257.24,261.71,239.33,245.67
2018-06-12,270.15,275.31,257.24,257.24
2018-06-11,270.5,275.43,256.98,270.15
2018-06-10,298.12,298.12,267.35,270.5
2018-06-09,310,312.51,295,298.12
2018-06-08,316.09,318.5,301,310
2018-06-07,315,319.96,312.69,316.09
2018-06-06,317.67,319.26,308,315
2018-06-05,317.96,321.95,305.9,317.67
2018-06-04,332.06,333.98,309.83,317.96
2018-06-03,321.5,335.91,320.52,332.06
2018-06-02,317,328.48,309,321.5
2018-06-01,303.59,317,301.51,317
2018-05-31,305.78,317.01,300,303.59
2018-05-30,317.85,320.28,295.18,305.78
2018-05-29,286,322.31,280.55,317.85
2018-05-28,314.81,321,285,286
2018-05-27,321.78,322.35,312.86,314.81
2018-05-26,334.87,338.37,321.78,321.78
2018-05-25,344.67,348.25,327,334.87
2018-05-24,341.33,348.95,322.56,344.67
2018-05-23,356.01,359.7,329.48,341.33
2018-05-22,383,384.41,356,356.01
2018-05-21,403.13,404.69,382.31,383
2018-05-20,383.8,404.57,383.68,403.13
2018-05-19,396.85,404.69,383.68,383.8
2018-05-18,385.2,397.17,372.73,396.85
2018-05-17,408.84,417.14,382.42,385.2
2018-05-16,422,428.34,395,408.84
2018-05-15,432,453.15,420.55,422
2018-05-14,417.49,455,386.35,432
2018-05-13,399.78,420,390.94,417.49
2018-05-12,392.72,409.89,375.03,399.78
2018-05-11,417.97,434,385.51,392.72
2018-05-10,445.02,463.26,417.97,417.97
2018-05-09,444.14,448.16,405.61,445.02
2018-05-08,457,468.03,435,444.14
2018-05-07,487.77,487.85,445,457
2018-05-06,511.3,526.4,480.15,487.77
2018-05-05,488,513.01,487.23,511.3
2018-05-04,503.71,503.71,475.91,488
2018-05-03,487.93,515,481.2,503.71
2018-05-02,476.39,490.95,465.41,487.93
2018-05-01,473.95,485.27,453,476.39
2018-04-30,496.65,500.34,470.05,473.95
2018-04-29,496.3,509.76,478.06,496.65
2018-04-28,471.22,507.61,468.87,496.3
2018-04-27,503.76,507.42,468.87,471.22
2018-04-26,463.02,506.52,448.53,503.76
2018-04-25,525.6,528,447,463.02
2018-04-24,500.68,544,500.68,525.6
2018-04-23,466,528,460,500.68
2018-04-22,444.77,480.5,438.35,466
2018-04-21,459.98,463.33,423.77,444.77
2018-04-20,435.23,466,425,459.98
2018-04-19,421.88,436,408,435.23
2018-04-18,364.74,424.89,361.43,421.88
2018-04-17,363.2,379.4,359.21,364.74
2018-04-16,383.51,383.51,353.09,363.2
2018-04-15,358.41,388,356.47,383.51
2018-04-14,355.62,376.5,350.5,358.41
2018-04-13,358.56,390.86,344.12,355.62
2018-04-12,310.8,358.56,304.09,358.56
2018-04-11,300,310.8,296.09,310.8
2018-04-10,299.22,302.32,291.36,300
2018-04-09,311,324.51,292.18,299.22
2018-04-08,297.34,315.18,295.26,311
2018-04-07,282.5,309.5,282.5,297.34
2018-04-06,302.32,303.87,282.1,282.5
2018-04-05,296.57,304.69,286.7,302.32
2018-04-04,336.25,338.92,294,296.57
2018-04-03,310,344.68,308.7,336.25
2018-04-02,291.54,312.37,286.87,310
2018-04-01,305.32,311.2,283.45,291.54
2018-03-31,311,328.43,301.1,305.32
2018-03-30,325.42,335.12,301.93,311
2018-03-29,348.1,351.92,315.64,325.42
2018-03-28,352.16,367.99,344.89,348.1
2018-03-27,385.84,390.47,352.16,352.16
2018-03-26,410.93,412.55,370,385.84
2018-03-25,420.16,422.98,407.63,410.93
2018-03-24,431.29,462.72,420.16,420.16
2018-03-23,412.23,431.29,390.71,431.29
2018-03-22,431.28,439.56,396.57,412.23
2018-03-21,429.57,450.33,420.51,431.28
2018-03-20,410.17,443.89,394.61,429.57
2018-03-19,396.03,410.17,364.17,410.17
2018-03-18,384.43,396.03,340,396.03
2018-03-17,425,427.93,381.23,384.43
2018-03-16,418.42,432.52,400.08,425
2018-03-15,422.47,432.77,388.68,418.42
2018-03-14,483.41,491.79,413.73,422.47
2018-03-13,498.94,513.48,477,483.41
2018-03-12,525.77,550,481,498.94
2018-03-11,476.56,550,464.79,525.77
2018-03-10,496.62,529.73,475,476.56
2018-03-09,490.14,499.88,436.74,496.62
2018-03-08,508.38,531.89,481,490.14
2018-03-07,576.7,588.77,497.05,508.38
2018-03-06,610.68,610.68,563.44,576.7
2018-03-05,621,621.41,604.94,610.68
2018-03-04,609.06,621,593.16,621
2018-03-03,605.96,615,594.3,609.06
2018-03-02,617.6,621,594.3,605.96
2018-03-01,583,625,578.73,617.6
2018-02-28,608.87,622.58,582,583
2018-02-27,623,646.09,604.59,608.87
2018-02-26,590.4,627.65,575.27,623
2018-02-25,587.03,597.89,573.69,590.4
2018-02-24,630,640,569.22,587.03
2018-02-23,630.31,649.94,600.5,630
2018-02-22,654.63,682.68,593.12,630.31
2018-02-21,674.77,718,651,654.63
2018-02-20,721.5,736.84,671.11,674.77
2018-02-19,688.77,731.73,680.21,721.5
2018-02-18,738.04,741.08,660,688.77
2018-02-17,695,745.02,685.03,738.04
2018-02-16,700,722,672,695
2018-02-15,678.7,702.2,658.75,700
2018-02-14,591.4,683.85,590,678.7
2018-02-13,623,626.33,578,591.4
2018-02-12,578.31,626.55,576,623
2018-02-11,625.39,631.68,557,578.31
2018-02-10,639.56,671,597.75,625.39
2018-02-09,600.16,641,572,639.56
2018-02-08,518.37,613.27,518.37,600.16
2018-02-07,515.94,588.11,488,518.37
2018-02-06,450,539.14,382.57,515.94
2018-02-05,547,554.92,428.96,450
2018-02-04,634.82,648.15,530,547
2018-02-03,593.3,650,532.15,634.82
2018-02-02,614,628.53,457.13,593.3
2018-02-01,703,708.14,587.3,614
2018-01-31,680.08,704.73,652,703
2018-01-30,771.71,777.64,674.92,680.08
2018-01-29,824,828.89,750,771.71
2018-01-28,770.13,824.28,765.39,824
2018-01-27,784.72,785.29,748.39,770.13
2018-01-26,793.07,814.37,735.53,784.72
2018-01-25,784.67,823.96,778.44,793.07
2018-01-24,754.28,790.58,726.32,784.67
2018-01-23,761.68,793.11,684.98,754.28
2018-01-22,807.69,845,691.11,761.68
2018-01-21,920.5,925.98,786,807.69
2018-01-20,835,958.97,826.89,920.5
2018-01-19,811.86,853.45,776.62,835
2018-01-18,790.34,888,745,811.86
2018-01-17,741.16,828,611,790.34
2018-01-16,929.6,934.33,625,741.16
2018-01-15,1003.99,1030,929.09,929.6
2018-01-14,1090,1108.41,966.65,1003.99
2018-01-13,1045,1125.32,1037.02,1090
2018-01-12,993.62,1059,960,1045
2018-01-11,1093.77,1102,950,993.62
2018-01-10,1099.16,1105.82,1018,1093.77
2018-01-09,1074.65,1128.76,1034.12,1099.16
2018-01-08,1158,1181.16,950,1074.65
2018-01-07,1161.17,1247.99,1147.75,1158
2018-01-06,1074.25,1180.02,1060,1161.17
2018-01-05,1117,1166,1060.48,1074.25
2018-01-04,1122.14,1200,1016.64,1117
2018-01-03,1165,1171.4,1081,1122.14
2018-01-02,1012.73,1198,1012.73,1165
2018-01-01,1006.18,1039.49,965,1012.73
2017-12-31,940.32,1054,920,1006.18
2017-12-30,1080,1094,870,940.32
2017-12-29,1095.25,1142.75,1010.14,1080
2017-12-28,1130,1135.99,982.11,1095.25
2017-12-27,1177.93,1210,1097.4,1130
2017-12-26,1110,1178,1095.04,1177.93
2017-12-25,1095,1176,1069,1110
2017-12-24,1147.5,1160,950,1095
2017-12-23,1100,1256,1075.01,1147.5
2017-12-22,1309.8,1350,810,1100
2017-12-21,1428,1529,1246,1309.8
2017-12-20,1130.23,1575,1088.06,1428
2017-12-19,1148,1224.62,1055,1130.23
2017-12-18,1083.45,1188.89,1013,1148
2017-12-17,993,1158.62,985,1083.45
2017-12-16,893,993,881.47,993
2017-12-15,929.5,937.74,829.99,893
2017-12-14,858,947.8,817.17,929.5
2017-12-13,878,887.45,783.2,858
2017-12-12,756.85,920.89,720,878
2017-12-11,673.9,758.95,668.43,756.85
2017-12-10,707.94,707.94,627,673.9
2017-12-09,699.8,752,678.63,707.94
2017-12-08,657.34,743,621.1,699.8
2017-12-07,668.6,690.61,619,657.34
2017-12-06,735.6,762.83,650.13,668.6
2017-12-05,763,768,732.09,735.6
2017-12-04,757.84,770,725.24,763
2017-12-03,767.5,808.97,725.07,757.84
2017-12-02,771.72,787.08,750.68,767.5
2017-12-01,758.31,792.54,727.11,771.72
2017-11-30,661,810,650,758.31
2017-11-29,610.39,764.9,590.34,661
2017-11-28,623.67,630,598.48,610.39
2017-11-27,615,634.79,600,623.67
2017-11-26,633,641.64,599.3,615
2017-11-25,560.9,650,557.9,633
2017-11-24,559.73,568,543,560.9
2017-11-23,573,583.23,550,559.73
2017-11-22,492.61,595,492.61,573
2017-11-21,477,525,452.22,492.61
2017-11-20,443,495.97,438.2,477
2017-11-19,455.1,457,429,443
2017-11-18,423.01,479.63,420,455.1
2017-11-17,418.21,442.98,410,423.01
2017-11-16,421,425.8,409.28,418.21
2017-11-15,420.75,440.36,408.7,421
2017-11-14,420.46,439.03,401.39,420.75
2017-11-13,490,496.53,390.5,420.46
2017-11-12,344,499,320,490
2017-11-11,326,350,312,344
2017-11-10,319.73,351.78,301.12,326
2017-11-09,315,337.52,310.47,319.73
2017-11-08,292.17,315.84,284.5,315
2017-11-07,275.68,302.24,272.81,292.17
2017-11-06,270.03,280,266.53,275.68
2017-11-05,273.45,276.34,268.71,270.03
2017-11-04,277.2,279.9,267.5,273.45
2017-11-03,263.01,279.49,259.96,277.2
2017-11-02,272.08,272.08,242.66,263.01
2017-11-01,276.4,278.79,269.15,272.08
2017-10-31,286.31,286.31,276.4,276.4
2017-10-30,284.45,288.96,281.37,286.31
2017-10-29,273.76,287.45,273.76,284.45
2017-10-28,280.27,286.88,268,273.76
2017-10-27,284.24,287.96,278,280.27
2017-10-26,287.59,290.04,280.51,284.24
2017-10-25,290.15,298.57,281.61,287.59
