timestamp,open,high,low,close
2018-09-29,6641.01,6641.01,6592.23,6625
2018-09-28,6692.52,6800,6540.67,6641.01
2018-09-27,6465.05,6739.49,6432.4,6692.52
2018-09-26,6440.89,6556,6384.24,6465.05
2018-09-25,6590.24,6590.24,6334.36,6440.89
2018-09-24,6711.95,6729.77,6560,6590.24
2018-09-23,6731,6786,6661,6711.95
2018-09-22,6757.43,6832.39,6628.79,6731
2018-09-21,6492.04,6786.12,6492,6757.43
2018-09-20,6383.94,6550,6333.9,6492.04
2018-09-19,6336.19,6523.18,6120.1,6383.94
2018-09-18,6253.28,6385.39,6226.48,6336.19
2018-09-17,6500.08,6530,6206.76,6253.28
2018-09-16,6516.58,6519.61,6375,6500.08
2018-09-15,6484.08,6567.52,6474.35,6516.58
2018-09-14,6488.38,6580.81,6382.79,6484.08
2018-09-13,6338.41,6523.32,6333.42,6488.38
2018-09-12,6291.15,6350,6197,6338.41
2018-09-11,6312.83,6397.46,6162.34,6291.15
2018-09-10,6247.79,6360.18,6231,6312.83
2018-09-09,6181.88,6448.59,6147,6247.79
2018-09-08,6388.74,6474.1,6121.46,6181.88
2018-09-07,6510,6550,6320,6388.74
2018-09-06,6700,6725.71,6300,6510
2018-09-05,7359.09,7395.89,6680,6700
2018-09-04,7267.45,7409.76,7246.41,7359.09
2018-09-03,7300,7335,7196.08,7267.45
2018-09-02,7202,7338,7130.87,7300
2018-09-01,7026.53,7275,7013.87,7202
2018-08-31,6992.11,7090,6887.92,7026.53
2018-08-30,7032.12,7059.02,6805.54,6992.11
2018-08-29,7076.19,7123,6899.9,7032.12
2018-08-28,6905,7125.29,6863,7076.19
2018-08-27,6713.15,6935.82,6650,6905
2018-08-26,6726.09,6778.4,6571.3,6713.15
2018-08-25,6685.52,6789,6665,6726.09
2018-08-24,6530.62,6718,6458,6685.52
2018-08-23,6354.77,6567.22,6344.41,6530.62
2018-08-22,6468.94,6894.6,6255.61,6354.77
2018-08-21,6250,6490,6248,6468.94
2018-08-20,6487.47,6521.57,6222.5,6250
2018-08-19,6388,6544.22,6306.21,6487.47
2018-08-18,6579,6619.88,6300.75,6388
2018-08-17,6312.9,6580,6286.13,6579
2018-08-16,6265.66,6472.44,6210,6312.9
2018-08-15,6189.73,6650,6176.7,6265.66
2018-08-14,6248,6248,5755,6189.73
2018-08-13,6310.79,6530,6151,6248
2018-08-12,6100.96,6100.96,6100.96,6100.96
2018-08-11,6147,6169.9,6011,6100.96
2018-08-10,6526.34,6568,6017.17,6147
2018-08-09,6278.64,6615.9,6184.29,6526.34
2018-08-08,6712,6722.16,6124,6278.64
2018-08-07,6928.5,7150.46,6663.47,6712
2018-08-06,7034.2,7149,6850,6928.5
2018-08-05,7005,7084,6899,7034.2
2018-08-04,7411.22,7490,6939.97,7005
2018-08-03,7536.86,7536.86,7290,7411.22
2018-08-02,7616.02,7699.39,7464.69,7536.86
2018-08-01,7731.55,7752.4,7440,7616.02
2018-07-31,8178.05,8178.05,7643,7731.55
2018-07-30,8221.15,8264,7864,8178.05
2018-07-29,8218,8298,8125.62,8221.15
2018-07-28,8185.48,8234.47,8075,8218
2018-07-27,7938,8280,7802,8185.48
2018-07-26,8173.04,8314.94,7850.5,7938
2018-07-25,8410,8483.41,8055.32,8173.04
2018-07-24,7720,8480,7700,8410
2018-07-23,7405,7800,7380,7720
2018-07-22,7411.41,7579.96,7359.5,7405
2018-07-21,7340.58,7450,7220,7411.41
2018-07-20,7475.19,7689.62,7286.43,7340.58
2018-07-19,7372.78,7565,7272.72,7475.19
2018-07-18,7320.51,7589.62,7232,7372.78
2018-07-17,6735,7450.07,6661.09,7320.51
2018-07-16,6343.14,6744.98,6335,6735
2018-07-15,6253.62,6387.84,6235.1,6343.14
2018-07-14,6218.64,6317.11,6178.21,6253.62
2018-07-13,6245,6349,6123,6218.64
2018-07-12,6374,6377,5999,6245
2018-07-11,6298,6406.07,6285,6374
2018-07-10,6654.5,6682.23,6260,6298
2018-07-09,6703.52,6800.12,6630,6654.5
2018-07-08,6760,6782,6680,6703.52
2018-07-07,6605,6800,6516.71,6760
2018-07-06,6532.22,6635.5,6441.51,6605
2018-07-05,6585.6,6697.97,6461.18,6532.22
2018-07-04,6497.66,6781.1,6410.89,6585.6
2018-07-03,6614.23,6674.93,6470,6497.66
2018-07-02,6348.8,6795.83,6275,6614.23
2018-07-01,6390.52,6500,6262,6348.8
2018-06-30,6197.5,6514.6,6183.34,6390.52
2018-06-29,5873,6300,5800,6197.5
2018-06-28,6137.87,6165.28,5781.55,5873
2018-06-27,6078.4,6185.06,6001.3,6137.87
2018-06-26,6240,6264.02,6021.75,6078.4
2018-06-25,6151.81,6339,6065,6240
2018-06-24,6164.34,6241.46,5760,6151.81
2018-06-23,6041.67,6250,6006.1,6164.34
2018-06-22,6712.63,6730.03,5888.88,6041.67
2018-06-21,6753,6789.79,6676.1,6712.63
2018-06-20,6746,6807.06,6556.64,6753
2018-06-19,6714.49,6833,6660,6746
2018-06-18,6442,6799,6382.08,6714.49
2018-06-17,6483.84,6577,6428.41,6442
2018-06-16,6376.15,6557.93,6330,6483.84
2018-06-15,6626.93,6655.81,6363.1,6376.15
2018-06-14,6292.3,6703.1,6260.54,6626.93
2018-06-13,6540,6614.81,6123.78,6292.3
2018-06-12,6874.6,6883.9,6434.3,6540
2018-06-11,6763.91,6955.69,6622.13,6874.6
2018-06-10,7490,7498.76,6650,6763.91
2018-06-09,7610.62,7682.86,7466.3,7490
2018-06-08,7694.09,7701.19,7545,7610.62
