timestamp,open,high,low,close
2018-09-29,11.19,11.22,11.19,11.2
2018-09-28,11.39,11.6,11.09,11.19
2018-09-27,11,11.53,10.75,11.39
2018-09-26,11.05,11.32,10.84,11
2018-09-25,11.03,11.36,10.41,11.05
2018-09-24,11.66,11.66,11,11.03
2018-09-23,11.41,11.79,11.38,11.66
2018-09-22,11.61,11.89,11.2,11.41
2018-09-21,11.15,11.79,11.01,11.61
2018-09-20,10.72,11.27,10.6,11.15
2018-09-19,10.55,11.2,10.27,10.72
2018-09-18,10.33,10.83,10.22,10.55
2018-09-17,11.2,11.3,10.01,10.33
2018-09-16,11.32,11.37,10.97,11.2
2018-09-15,10.97,11.56,10.93,11.32
2018-09-14,11.11,11.35,10.9,10.97
2018-09-13,10.69,11.33,10.69,11.11
2018-09-12,11.25,11.28,10.16,10.69
2018-09-11,11.31,11.49,10.87,11.25
2018-09-10,11.24,11.45,10.92,11.31
2018-09-09,10.96,11.64,10.87,11.24
2018-09-08,11.61,11.83,10.67,10.96
2018-09-07,11.94,12.24,11.41,11.61
2018-09-06,11.8,12.04,11.07,11.94
2018-09-05,14.01,14.1,11.72,11.8
2018-09-04,14.02,14.25,13.77,14.01
2018-09-03,13.37,14.57,13.34,14.02
2018-09-02,13.17,13.43,12.96,13.37
2018-09-01,12.76,13.39,12.71,13.17
2018-08-31,12.82,12.96,12.5,12.76
2018-08-30,12.99,13.1,12.46,12.82
2018-08-29,13.21,13.31,12.77,12.99
2018-08-28,12.7,13.37,12.64,13.21
2018-08-27,12.36,12.7,12.3,12.7
2018-08-26,12.6,12.7,12.03,12.36
2018-08-25,12.55,12.75,12.36,12.6
2018-08-24,12.43,12.59,12.25,12.55
2018-08-23,12.18,12.68,12.07,12.43
2018-08-22,12.77,13.5,11.89,12.18
2018-08-21,12.41,12.9,12.25,12.77
2018-08-20,13.32,13.57,12.23,12.41
2018-08-19,13.15,13.76,12.82,13.32
2018-08-18,14.46,14.52,12.6,13.15
2018-08-17,13.88,14.58,13.03,14.46
2018-08-16,13.08,14.92,12.84,13.88
2018-08-15,11.76,13.31,11.6,13.08
2018-08-14,11.92,11.95,10.1,11.76
2018-08-13,13.2,13.43,11.88,11.92
2018-08-12,13.28,13.28,13.28,13.28
2018-08-11,14.28,14.28,13.16,13.28
2018-08-10,15.01,15.35,14.09,14.28
2018-08-09,15.18,15.43,14.33,15.01
2018-08-08,17.28,17.35,14.56,15.18
2018-08-07,18.68,20.75,16.72,17.28
2018-08-06,17.72,18.79,17.13,18.68
2018-08-05,16.37,17.82,16.23,17.72
2018-08-04,16.47,16.9,15.84,16.37
2018-08-03,14.95,17,14.14,16.47
2018-08-02,15.49,15.59,14.59,14.95
2018-08-01,16.16,16.29,14.98,15.49
2018-07-31,17.2,17.2,15.82,16.16
2018-07-30,16.94,17.4,16.61,17.2
2018-07-29,17,17.08,16.65,16.94
2018-07-28,17.02,17.09,16.61,17
2018-07-27,16.65,17.24,16.33,17.02
2018-07-26,16.55,17.48,16.33,16.65
2018-07-25,16.64,16.84,16.1,16.55
2018-07-24,16.06,16.86,15.75,16.64
