timestamp,open,high,low,close
2018-09-29,221.77,221.77,218.46,220.5
2018-09-28,229.38,234.13,215.17,221.77
2018-09-27,214.42,233.86,209.99,229.38
2018-09-26,219.32,222.74,207.66,214.42
2018-09-25,228.1,228.1,203.26,219.32
2018-09-24,245.02,246.16,225.26,228.1
2018-09-23,240.59,249.16,237.17,245.02
2018-09-22,247.64,255.7,233.19,240.59
2018-09-21,223.94,251.99,220.7,247.64
2018-09-20,209.66,227.8,206.74,223.94
2018-09-19,208.84,214.63,198,209.66
2018-09-18,196.21,214.31,194.4,208.84
2018-09-17,220.01,224.96,191.97,196.21
2018-09-16,222.38,223.94,207.45,220.01
2018-09-15,209,228.29,208.55,222.38
2018-09-14,211.03,223.95,202.4,209
2018-09-13,182.91,214.75,182.91,211.03
2018-09-12,185.23,185.23,167.94,182.91
2018-09-11,197.26,199.2,176.13,185.23
2018-09-10,195.35,202.69,186.86,197.26
2018-09-09,197.08,208.58,186,195.35
2018-09-08,215.37,219.86,190,197.08
2018-09-07,229.71,234.37,214.04,215.37
2018-09-06,229.4,233.08,211.76,229.71
2018-09-05,285.55,287.61,225.23,229.4
2018-09-04,289.39,292.37,283.08,285.55
2018-09-03,294.97,296.2,286.11,289.39
2018-09-02,295.41,299.3,289.2,294.97
2018-09-01,281.51,303.19,281.39,295.41
2018-08-31,283.5,285,276.84,281.51
2018-08-30,288.24,291,272.46,283.5
2018-08-29,295.78,297.15,283.9,288.24
2018-08-28,287.8,297.92,283.01,295.78
2018-08-27,274.39,287.8,272,287.8
2018-08-26,277.87,277.87,269.67,274.39
2018-08-25,281.1,282.13,276.4,277.87
2018-08-24,276,282.87,270.72,281.1
2018-08-23,269.43,279.85,268,276
2018-08-22,279.98,299.61,260,269.43
2018-08-21,270.9,285.24,270,279.98
2018-08-20,300.01,304.24,269,270.9
2018-08-19,293.31,306.55,288.18,300.01
2018-08-18,317.47,320.83,282,293.31
2018-08-17,286.77,317.67,285.69,317.47
2018-08-16,281.22,298.75,278.1,286.77
2018-08-15,277.7,306.62,277.4,281.22
2018-08-14,283.77,283.77,250.3,277.7
2018-08-13,317.65,321.62,281,283.77
2018-08-12,312.38,312.38,312.38,312.38
2018-08-11,332,332.3,312.1,312.38
2018-08-10,363.35,365.78,325.36,332
2018-08-09,354.6,370.01,351,363.35
2018-08-08,378.31,380.53,347.1,354.6
2018-08-07,404.9,411,369.85,378.31
2018-08-06,408.11,412.95,401.3,404.9
2018-08-05,406.4,413.33,400.63,408.11
2018-08-04,417.83,419.21,401.82,406.4
2018-08-03,410.69,420,396.09,417.83
2018-08-02,419.7,425,408,410.69
2018-08-01,432.27,434.7,407.6,419.7
2018-07-31,457,457.93,427.83,432.27
2018-07-30,466.76,468.31,445.89,457
2018-07-29,468.19,472.02,462,466.76
2018-07-28,470.28,471.77,461,468.19
2018-07-27,462.92,474.2,457.25,470.28
2018-07-26,472,485,459.86,462.92
2018-07-25,480,484.75,464.3,472
2018-07-24,450.31,484,449.18,480
2018-07-23,458.04,469.28,447.35,450.31
2018-07-22,461.1,472,454.82,458.04
2018-07-21,448.83,468,442.52,461.1
2018-07-20,469.04,470.58,441,448.83
2018-07-19,478.86,484.15,463,469.04
2018-07-18,498.73,514.8,470.06,478.86
2018-07-17,478.24,511.1,466,498.73
