timestamp,open,high,low,close
2018-09-29,116.66,116.96,115.4,115.75
2018-09-28,119.64,122.5,115.05,116.66
2018-09-27,115.38,122.23,113,119.64
2018-09-26,115.84,117.53,112.18,115.38
2018-09-25,115.12,115.93,110.78,115.84
2018-09-24,122.52,123.32,114.11,115.12
2018-09-23,122.13,128.18,120.5,122.52
2018-09-22,123.69,125.62,118.7,122.13
2018-09-21,116.35,124.9,115.38,123.69
2018-09-20,108.89,116.35,108.89,116.35
2018-09-19,111.9,112.77,104.53,108.89
2018-09-18,105.85,113.81,103.6,111.9
2018-09-17,116.17,120,105.85,105.85
2018-09-16,118.5,119.14,113.41,116.17
2018-09-15,116.51,122.13,116.5,118.5
2018-09-14,111.31,117.46,109,116.51
2018-09-13,104.76,116.23,104.02,111.31
2018-09-12,104.96,105.51,96.59,104.76
2018-09-11,104.6,109,101,104.96
2018-09-10,105.24,108.94,103.53,104.6
2018-09-09,104.03,110.9,100.76,105.24
2018-09-08,111.55,114.2,101.19,104.03
2018-09-07,117.42,120,109.85,111.55
2018-09-06,113.86,118.5,108.29,117.42
2018-09-05,137.56,140.11,113.32,113.86
2018-09-04,136,140.12,134.37,137.56
2018-09-03,120,136.3,119,136
2018-09-02,120.4,125.38,116.43,120
2018-09-01,116.3,124.53,115.69,120.4
2018-08-31,103.02,119,102.61,116.3
2018-08-30,103.12,106.75,97,103.02
2018-08-29,107.51,108.54,100.52,103.12
2018-08-28,105.06,108,102,107.51
2018-08-27,94.75,106.92,93.43,105.06
2018-08-26,92.8,94.75,90.03,94.75
2018-08-25,93.71,96.24,91.95,92.8
2018-08-24,90.14,94.1,88.2,93.71
2018-08-23,89.8,91.2,88.2,90.14
2018-08-22,94.5,99,87.88,89.8
2018-08-21,92.08,96.32,91.72,94.5
2018-08-20,98.72,102.82,92.08,92.08
2018-08-19,97.9,99,94.77,98.72
2018-08-18,99.71,104.84,94.77,97.9
2018-08-17,90.56,101.35,90.56,99.71
2018-08-16,89.72,92.86,88.36,90.56
2018-08-15,83.93,94,83.93,89.72
2018-08-14,88.12,88.12,76,83.93
2018-08-13,92.5,97.16,87.37,88.12
2018-08-12,90.08,90.08,90.08,90.08
2018-08-11,90.69,92.43,88.41,90.08
2018-08-10,99.81,100.78,90.08,90.69
2018-08-09,94.48,102.5,94.48,99.81
2018-08-08,107.3,108.36,92.85,94.48
2018-08-07,114.11,118.3,107.12,107.3
2018-08-06,117,119.84,112.3,114.11
2018-08-05,114.16,117.99,111.5,117
2018-08-04,120.54,121.26,113.49,114.16
2018-08-03,121.8,122.63,115,120.54
2018-08-02,128.57,130.29,120.39,121.8
2018-08-01,121.73,130.1,119.19,128.57
2018-07-31,132.01,134.49,121.25,121.73
2018-07-30,135,136.4,128.81,132.01
2018-07-29,139.82,141.35,135,135
2018-07-28,141.55,141.97,138.08,139.82
2018-07-27,136,142.84,135,141.55
2018-07-26,143.26,145.12,135.76,136
2018-07-25,147.75,149.27,138.3,143.26
2018-07-24,133.97,148.57,132.95,147.75
2018-07-23,128.03,142.39,127.97,133.97
2018-07-22,132.38,133.5,128,128.03
2018-07-21,130.29,132.82,127,132.38
2018-07-20,139.74,140.14,128.48,130.29
2018-07-19,139.55,143.66,137.88,139.74
2018-07-18,143.23,149.53,137.88,139.55
2018-07-17,135.16,148.35,134.44,143.23
2018-07-16,123.89,135.46,122.47,135.16
2018-07-15,122.49,126.5,120.69,123.89
2018-07-14,122.06,124,120.31,122.49
2018-07-13,120.77,124.92,118.73,122.06
2018-07-12,124.39,125.79,116.95,120.77
2018-07-11,120.33,129.98,120.33,124.39
2018-07-10,135.58,136.79,120.33,120.33
2018-07-09,137.18,141.03,134.51,135.58
2018-07-08,134.65,139,133.36,137.18
2018-07-07,133.54,134.96,129.7,134.65
2018-07-06,138.59,138.9,130.18,133.54
2018-07-05,138.92,141.17,133.68,138.59
2018-07-04,138,146.11,136.61,138.92
2018-07-03,140.44,144.29,136.27,138
2018-07-02,129.85,143.16,127.6,140.44
2018-07-01,130.84,134,125.47,129.85
2018-06-30,126.25,135.23,126.25,130.84
2018-06-29,117.31,128.07,114.5,126.25
2018-06-28,128.59,134.4,114.48,117.31
2018-06-27,120,130.49,119,128.59
2018-06-26,126.11,130.1,120,120
2018-06-25,121.51,129.72,120.51,126.11
2018-06-24,115,124.78,107,121.51
2018-06-23,109.75,119.12,108.66,115
2018-06-22,123.05,123.92,106.16,109.75
2018-06-21,122.32,124.5,121.2,123.05
2018-06-20,125.95,125.95,119.32,122.32
2018-06-19,126.47,130.32,123.79,125.95
2018-06-18,123.29,129.99,119.24,126.47
2018-06-17,126.53,126.83,122.89,123.29
2018-06-16,121.8,128.12,120,126.53
2018-06-15,133,133.66,121.8,121.8
2018-06-14,121.07,134.4,117.34,133
2018-06-13,125.1,126.26,112.71,121.07
2018-06-12,137.71,137.88,119.5,125.1
2018-06-11,138.89,139.7,131.8,137.71
2018-06-10,154,154.57,131.01,138.89
2018-06-09,158,160.74,154,154
2018-06-08,163.47,165,156.73,158
2018-06-07,164.14,171.82,162.2,163.47
2018-06-06,166.16,167.93,161.31,164.14
2018-06-05,160.53,169.46,156.34,166.16
2018-06-04,169.66,170.33,157.15,160.53
2018-06-03,162.35,177.28,162.35,169.66
2018-06-02,157.06,167.37,156.45,162.35
2018-06-01,155.29,158.46,152.59,157.06
2018-05-31,154.1,159.65,153.75,155.29
2018-05-30,157.83,161.69,151.5,154.1
2018-05-29,148.62,166.92,147,157.83
2018-05-28,166.18,168,148.3,148.62
2018-05-27,164.33,169.56,160.36,166.18
2018-05-26,164.4,169,162.18,164.33
2018-05-25,170.81,173.91,162.19,164.4
2018-05-24,171.34,177.03,160,170.81
2018-05-23,175.26,179.45,164.97,171.34
2018-05-22,197.54,198.97,175.26,175.26
2018-05-21,203.4,204.75,194.17,197.54
