Data,SMLE3,BBSE3,CMIG4,BBAS3,ITUB4,BVMF3,CIEL3,GGBR4,VALE5,PETR4
01/04/13,14.9570,13.8144,10.7613,19.1576,19.1576,11.7339,13.8986,14.6162,26.5672,18.8873
01/05/13,16.1856,14.9649,10.8823,20.3057,20.3057,11.9597,14.4013,12.2215,23.3196,18.8497
01/06/13,15.9255,14.2600,10.0077,18.0390,18.0390,10.5212,14.6632,11.8095,22.0173,15.2113
01/07/13,18.2006,14.9406,10.4852,18.2805,18.2805,10.4701,14.7260,13.6638,22.9126,15.3148
01/08/13,18.1010,15.9419,9.3492,18.3794,18.3794,10.0790,15.2942,16.1339,25.3137,15.7942
01/09/13,19.0027,18.0714,9.6709,19.9488,19.9488,10.6739,15.9939,15.6165,25.6719,17.2608
01/10/13,19.3450,20.2754,10.0177,21.9504,21.9504,10.8894,18.1445,16.6231,27.5226,19.2069
01/11/13,21.5566,21.0460,9.8669,20.9190,20.9190,10.2689,18.0778,17.0449,27.4807,17.9753
01/12/13,21.3855,20.3002,9.4852,20.0355,20.0355,9.6331,17.5175,17.3669,27.4305,16.0575
01/01/14,22.1359,18.8088,9.4310,19.3610,19.3610,8.3527,17.1413,16.2400,25.1425,13.8200
01/02/14,24.0249,19.7837,9.0925,20.3203,20.3203,8.7708,16.9438,13.6738,24.3798,12.7764
01/03/14,23.8604,21.3206,10.3247,22.0682,22.0682,9.7985,19.6534,13.8166,23.7597,14.8353
01/04/14,27.8097,22.1866,11.5027,23.9666,23.9666,9.9292,21.4717,12.7223,22.8233,16.5700
01/05/14,27.8250,24.1990,11.1326,22.7385,22.7385,9.6543,21.7598,12.7496,22.1495,16.6900
01/06/14,31.9145,27.5444,12.4912,22.9223,22.9223,10.2597,24.7332,12.3766,22.7628,17.2900
01/07/14,32.5902,28.1048,14.2944,25.1783,25.1783,10.7200,22.5589,12.7687,25.1644,19.1000
01/08/14,32.6727,30.8823,14.8284,29.2363,29.2363,12.0565,22.8089,12.4522,22.4346,23.3500
01/09/14,32.0127,27.8234,11.6012,24.5442,24.5442,9.9935,22.1153,11.3185,20.5427,18.0900
01/10/14,35.3130,28.5665,11.0130,26.6430,26.6430,9.7345,22.4968,10.6555,19.4208,15.2800
01/11/14,38.7783,29.0072,11.6210,27.9956,27.9956,9.5152,24.2991,10.5224,18.0239,12.8000
01/12/14,38.2154,27.7888,10.9978,25.1043,25.1043,8.8923,23.0386,9.2481,17.3300,10.0200
01/01/15,35.0619,25.4040,9.9683,23.8812,23.8812,8.2152,22.1153,8.7944,14.9148,8.1800
01/02/15,39.4436,28.7558,10.8639,27.1635,27.1635,9.0638,24.7193,9.8177,16.6811,9.5700
