Date,AAPL,MSFT,GOOG,TWTR,NVDA,V,NFLX,FB,AMZN,INTC,BABA,BAC,AMD,PEP,ATVI,C,F,AABA,BA,CSCO,WMT
05/12/2016,109.11,60.22,762.52,18.23,91.88,77.31,119.16,117.43,759.36,34.39,90.99,21.84,8.68,100.71,36.48,57.28,12.44,40.2,152.16,29.53,69.94
06/12/2016,109.95,59.95,759.11,18.23,93.39,77.11,124.57,117.31,764.72,34.72,90.4,22.16,9.45,101.55,36.7,57.92,12.56,39.97,152.24,29.33,70.36
07/12/2016,111.03,61.37,771.19,19.48,95.07,79.31,125.39,117.95,770.42,35.5,91.07,22.57,9.56,102.81,37.45,59.06,13.06,40.52,154.14,29.95,70.6
08/12/2016,112.12,61.01,776.42,19.64,93.48,79.28,123.24,118.91,767.33,35.7,92.31,22.95,10.34,102.15,37.39,60.15,13.03,41.41,155.39,29.95,70.34
09/12/2016,113.95,61.97,789.29,19.65,91.82,79.14,122.88,119.68,768.66,35.76,93.28,23.09,10.34,103.57,36.79,60.04,13.17,41.76,156.49,30.06,70.08
12/12/2016,113.3,62.17,789.27,18.93,89.59,78.5,122.83,117.77,760.12,35.97,92.47,22.61,10.68,104.72,37.17,59.55,12.82,41.3,157.16,30.17,71.67
13/12/2016,115.19,62.98,796.1,19.37,91.17,79.2,123.78,120.31,774.34,36.8,92.16,22.61,10.54,105.63,37.32,59.79,12.77,41.47,156.66,30.59,71.8
14/12/2016,115.19,62.68,797.07,18.93,96.45,79.13,123.44,120.21,768.82,36.55,91.19,22.67,10.55,104.47,36.74,59.45,12.53,40.91,154.47,30.46,71.34
15/12/2016,115.82,62.58,797.85,18.79,98.71,79.5,125,120.57,761,36.79,88.85,23.16,10.86,105.3,36.99,60.23,12.58,38.41,153.77,30.63,71.08
16/12/2016,115.97,62.3,790.8,18.63,100.41,78.35,124.22,119.87,757.77,36.31,88.67,22.66,10.66,105.87,36.47,59.75,12.63,38.61,154.5,30.59,70.98
19/12/2016,116.64,63.62,794.2,18.24,101.63,78.1,125.45,119.24,766,36.89,88.93,22.48,10.95,105.41,36.63,59.66,12.66,38.42,156.18,30.75,71.58
20/12/2016,116.95,63.54,796.42,17.92,105.17,78.36,125.12,119.09,771.22,37.21,89.84,22.71,11.51,104.9,36.83,60.8,12.78,39.16,156.39,30.56,71.82
21/12/2016,117.06,63.54,794.56,17.08,105.83,78.14,126.5,119.04,770.6,36.98,89.25,22.63,11.47,104.7,36.9,60.75,12.64,39.15,157.48,30.42,71.24
22/12/2016,116.29,63.55,791.26,16.41,107.11,77.9,125.58,117.4,766.34,36.93,86.8,22.54,11.6,105.35,36.44,60.49,12.4,38.5,157.46,30.46,69.59
23/12/2016,116.52,63.24,789.91,16.5,109.78,78.15,125.59,117.27,760.59,36.97,86.79,22.6,11.58,105.09,36.5,60.99,12.46,38.66,157.81,30.53,69.54
27/12/2016,117.26,63.28,791.55,16.61,117.32,78.35,128.35,118.01,771.4,37.07,87.54,22.61,12.07,105.13,36.53,61.09,12.39,38.92,157.48,30.68,69.7
28/12/2016,116.76,62.99,785.05,16.39,109.25,78.3,125.89,116.92,772.13,36.63,87.37,22.33,11.55,104.62,36.43,60.04,12.25,38.73,156.1,30.42,69.31
29/12/2016,116.73,62.9,782.79,16.39,111.43,78.33,125.33,116.35,765.15,36.66,87.33,22,11.59,104.99,36.48,59.38,12.23,38.64,155.69,30.46,69.26
30/12/2016,115.82,62.14,771.82,16.3,106.74,78.02,123.8,115.05,749.87,36.27,87.81,22.1,11.34,104.63,36.11,59.43,12.13,38.67,155.68,30.22,69.12
03/01/2017,116.15,62.58,786.14,16.44,102.01,79.5,127.49,116.86,753.67,36.6,88.6,22.53,11.43,104.65,36.64,60.59,12.59,38.9,156.97,30.54,68.66
04/01/2017,116.02,62.3,786.9,16.86,104.39,80.15,129.41,118.69,757.18,36.41,90.51,22.95,11.43,104.85,37.36,61.41,13.17,40.06,158.62,30.1,69.06
05/01/2017,116.61,62.3,794.02,17.09,101.74,81.09,131.81,120.67,780.45,36.35,94.37,22.68,11.24,104.71,37.94,60.34,12.77,41.34,158.71,30.17,69.21
06/01/2017,117.91,62.84,806.15,17.17,103.1,82.21,131.07,123.41,795.99,36.48,93.89,22.68,11.32,104.56,37.91,60.55,12.76,41.23,159.1,30.23,68.26
09/01/2017,118.99,62.64,806.65,17.5,107.28,81.75,130.95,124.9,796.92,36.61,94.72,22.55,11.49,103.46,37.7,60.22,12.63,41.34,158.32,30.18,68.71
